,breed,characteristic,rating
2726,Great Pyrenees,Energy Level,5
2727,Great Pyrenees,Intensity,5
2728,Great Pyrenees,Exercise Needs,5
2729,Great Pyrenees,Potential For Playfulness,4
2730,Greater Swiss Mountain Dog,Adapts Well to Apartment Living,1
2731,Greater Swiss Mountain Dog,Good For Novice Owners,2
2732,Greater Swiss Mountain Dog,Sensitivity Level,4
2733,Greater Swiss Mountain Dog,Tolerates Being Alone,3
2734,Greater Swiss Mountain Dog,Tolerates Cold Weather,5
2735,Greater Swiss Mountain Dog,Tolerates Hot Weather,1
2736,Greater Swiss Mountain Dog,Affectionate with Family,5
2737,Greater Swiss Mountain Dog,Incredibly Kid Friendly Dogs,5
2738,Greater Swiss Mountain Dog,Dog Friendly,5
2739,Greater Swiss Mountain Dog,Friendly Toward Strangers,3
2740,Greater Swiss Mountain Dog,Amount Of Shedding,3
2741,Greater Swiss Mountain Dog,Drooling Potential,1
2742,Greater Swiss Mountain Dog,Easy To Groom,5
2743,Greater Swiss Mountain Dog,General Health,2
2744,Greater Swiss Mountain Dog,Potential For Weight Gain,4
2745,Greater Swiss Mountain Dog,Size,5
2746,Greater Swiss Mountain Dog,Easy To Train,3
2747,Greater Swiss Mountain Dog,Intelligence,3
2748,Greater Swiss Mountain Dog,Potential For Mouthiness,3
2749,Greater Swiss Mountain Dog,Prey Drive,4
2750,Greater Swiss Mountain Dog,Tendency To Bark Or Howl,4
2751,Greater Swiss Mountain Dog,Wanderlust Potential,3
2752,Greater Swiss Mountain Dog,Energy Level,5
2753,Greater Swiss Mountain Dog,Intensity,4
2754,Greater Swiss Mountain Dog,Exercise Needs,3
2755,Greater Swiss Mountain Dog,Potential For Playfulness,5
2756,Greyhound,Adapts Well to Apartment Living,4
2757,Greyhound,Good For Novice Owners,2
2758,Greyhound,Sensitivity Level,5
2759,Greyhound,Tolerates Being Alone,1
2760,Greyhound,Tolerates Cold Weather,1
2761,Greyhound,Tolerates Hot Weather,5
2762,Greyhound,Affectionate with Family,5
2763,Greyhound,Incredibly Kid Friendly Dogs,5
2764,Greyhound,Dog Friendly,4
2765,Greyhound,Friendly Toward Strangers,5
2766,Greyhound,Amount Of Shedding,4
2767,Greyhound,Drooling Potential,5
2768,Greyhound,Easy To Groom,5
2769,Greyhound,General Health,4
2770,Greyhound,Potential For Weight Gain,5
2771,Greyhound,Size,4
2772,Greyhound,Easy To Train,5
2773,Greyhound,Intelligence,5
2774,Greyhound,Potential For Mouthiness,4
2775,Greyhound,Prey Drive,5
2776,Greyhound,Tendency To Bark Or Howl,2
2777,Greyhound,Wanderlust Potential,5
2778,Greyhound,Energy Level,5
2779,Greyhound,Intensity,3
2780,Greyhound,Exercise Needs,5
2781,Greyhound,Potential For Playfulness,4
2782,Harrier,Adapts Well to Apartment Living,1
2783,Harrier,Good For Novice Owners,3
2784,Harrier,Sensitivity Level,2
2785,Harrier,Tolerates Being Alone,3
2786,Harrier,Tolerates Cold Weather,3
2787,Harrier,Tolerates Hot Weather,4
2788,Harrier,Affectionate with Family,4
2789,Harrier,Incredibly Kid Friendly Dogs,5
2790,Harrier,Dog Friendly,5
2791,Harrier,Friendly Toward Strangers,5
2792,Harrier,Amount Of Shedding,3
2793,Harrier,Drooling Potential,1
2794,Harrier,Easy To Groom,5
2795,Harrier,General Health,5
2796,Harrier,Potential For Weight Gain,3
2797,Harrier,Size,3
2798,Harrier,Easy To Train,2
2799,Harrier,Intelligence,4
2800,Harrier,Potential For Mouthiness,3
2801,Harrier,Prey Drive,4
2802,Harrier,Tendency To Bark Or Howl,4
2803,Harrier,Wanderlust Potential,5
2804,Harrier,Energy Level,5
2805,Harrier,Intensity,4
2806,Harrier,Exercise Needs,5
2807,Harrier,Potential For Playfulness,5
2808,Havanese,Adapts Well to Apartment Living,5
2809,Havanese,Good For Novice Owners,5
2810,Havanese,Sensitivity Level,4
2811,Havanese,Tolerates Being Alone,1
2812,Havanese,Tolerates Cold Weather,3
2813,Havanese,Tolerates Hot Weather,4
2814,Havanese,Affectionate with Family,5
2815,Havanese,Incredibly Kid Friendly Dogs,4
2816,Havanese,Dog Friendly,5
2817,Havanese,Friendly Toward Strangers,5
2818,Havanese,Amount Of Shedding,2
2819,Havanese,Drooling Potential,1
2820,Havanese,Easy To Groom,1
2821,Havanese,General Health,3
2822,Havanese,Potential For Weight Gain,4
2823,Havanese,Size,2
2824,Havanese,Easy To Train,5
2825,Havanese,Intelligence,4
2826,Havanese,Potential For Mouthiness,3
2827,Havanese,Prey Drive,4
2828,Havanese,Tendency To Bark Or Howl,2
2829,Havanese,Wanderlust Potential,2
2830,Havanese,Energy Level,3
2831,Havanese,Intensity,2
2832,Havanese,Exercise Needs,3
2833,Havanese,Potential For Playfulness,5
2834,Ibizan Hound,Adapts Well to Apartment Living,5
2835,Ibizan Hound,Good For Novice Owners,3
2836,Ibizan Hound,Sensitivity Level,4
2837,Ibizan Hound,Tolerates Being Alone,2
2838,Ibizan Hound,Tolerates Cold Weather,1
2839,Ibizan Hound,Tolerates Hot Weather,4
2840,Ibizan Hound,Affectionate with Family,5
2841,Ibizan Hound,Incredibly Kid Friendly Dogs,5
2842,Ibizan Hound,Dog Friendly,5
2843,Ibizan Hound,Friendly Toward Strangers,4
2844,Ibizan Hound,Amount Of Shedding,3
2845,Ibizan Hound,Drooling Potential,1
2846,Ibizan Hound,Easy To Groom,5
2847,Ibizan Hound,General Health,4
2848,Ibizan Hound,Potential For Weight Gain,1
2849,Ibizan Hound,Size,3
2850,Ibizan Hound,Easy To Train,3
2851,Ibizan Hound,Intelligence,4
2852,Ibizan Hound,Potential For Mouthiness,3
2853,Ibizan Hound,Prey Drive,5
2854,Ibizan Hound,Tendency To Bark Or Howl,2
2855,Ibizan Hound,Wanderlust Potential,5
2856,Ibizan Hound,Energy Level,5
2857,Ibizan Hound,Intensity,3
2858,Ibizan Hound,Exercise Needs,5
2859,Ibizan Hound,Potential For Playfulness,5
2860,Icelandic Sheepdog,Adapts Well to Apartment Living,1
2861,Icelandic Sheepdog,Good For Novice Owners,1
2862,Icelandic Sheepdog,Sensitivity Level,3
2863,Icelandic Sheepdog,Tolerates Being Alone,2
2864,Icelandic Sheepdog,Tolerates Cold Weather,5
2865,Icelandic Sheepdog,Tolerates Hot Weather,3
2866,Icelandic Sheepdog,Affectionate with Family,4
2867,Icelandic Sheepdog,Incredibly Kid Friendly Dogs,4
2868,Icelandic Sheepdog,Dog Friendly,2
2869,Icelandic Sheepdog,Friendly Toward Strangers,2
2870,Icelandic Sheepdog,Amount Of Shedding,5
2871,Icelandic Sheepdog,Drooling Potential,1
2872,Icelandic Sheepdog,Easy To Groom,1
2873,Icelandic Sheepdog,General Health,3
2874,Icelandic Sheepdog,Potential For Weight Gain,3
2875,Icelandic Sheepdog,Size,3
2876,Icelandic Sheepdog,Easy To Train,3
2877,Icelandic Sheepdog,Intelligence,4
2878,Icelandic Sheepdog,Potential For Mouthiness,3
2879,Icelandic Sheepdog,Prey Drive,4
2880,Icelandic Sheepdog,Tendency To Bark Or Howl,1
2881,Icelandic Sheepdog,Wanderlust Potential,4
2882,Icelandic Sheepdog,Energy Level,4
2883,Icelandic Sheepdog,Intensity,5
2884,Icelandic Sheepdog,Exercise Needs,4
2885,Icelandic Sheepdog,Potential For Playfulness,4
2886,Irish Red and White Setter,Adapts Well to Apartment Living,1
2887,Irish Red and White Setter,Good For Novice Owners,3
2888,Irish Red and White Setter,Sensitivity Level,4
2889,Irish Red and White Setter,Tolerates Being Alone,1
2890,Irish Red and White Setter,Tolerates Cold Weather,4
2891,Irish Red and White Setter,Tolerates Hot Weather,3
2892,Irish Red and White Setter,Affectionate with Family,5
2893,Irish Red and White Setter,Incredibly Kid Friendly Dogs,4
2894,Irish Red and White Setter,Dog Friendly,4
2895,Irish Red and White Setter,Friendly Toward Strangers,4
2896,Irish Red and White Setter,Amount Of Shedding,3
2897,Irish Red and White Setter,Drooling Potential,1
2898,Irish Red and White Setter,Easy To Groom,3
2899,Irish Red and White Setter,General Health,2
2900,Irish Red and White Setter,Potential For Weight Gain,2
2901,Irish Red and White Setter,Size,3
2902,Irish Red and White Setter,Easy To Train,4
2903,Irish Red and White Setter,Intelligence,4
2904,Irish Red and White Setter,Potential For Mouthiness,4
2905,Irish Red and White Setter,Prey Drive,3
2906,Irish Red and White Setter,Tendency To Bark Or Howl,3
2907,Irish Red and White Setter,Wanderlust Potential,4
2908,Irish Red and White Setter,Energy Level,5
2909,Irish Red and White Setter,Intensity,5
2910,Irish Red and White Setter,Exercise Needs,5
2911,Irish Red and White Setter,Potential For Playfulness,5
2912,Irish Setter,Adapts Well to Apartment Living,1
2913,Irish Setter,Good For Novice Owners,3
2914,Irish Setter,Sensitivity Level,4
2915,Irish Setter,Tolerates Being Alone,2
2916,Irish Setter,Tolerates Cold Weather,4
2917,Irish Setter,Tolerates Hot Weather,3
2918,Irish Setter,Affectionate with Family,5
2919,Irish Setter,Incredibly Kid Friendly Dogs,5
2920,Irish Setter,Dog Friendly,5
2921,Irish Setter,Friendly Toward Strangers,5
2922,Irish Setter,Amount Of Shedding,4
2923,Irish Setter,Drooling Potential,2
2924,Irish Setter,Easy To Groom,3
2925,Irish Setter,General Health,2
2926,Irish Setter,Potential For Weight Gain,3
2927,Irish Setter,Size,4
2928,Irish Setter,Easy To Train,4
2929,Irish Setter,Intelligence,5
2930,Irish Setter,Potential For Mouthiness,5
2931,Irish Setter,Prey Drive,5
2932,Irish Setter,Tendency To Bark Or Howl,4
2933,Irish Setter,Wanderlust Potential,5
2934,Irish Setter,Energy Level,5
2935,Irish Setter,Intensity,3
2936,Irish Setter,Exercise Needs,5
2937,Irish Setter,Potential For Playfulness,5
2938,Irish Terrier,Adapts Well to Apartment Living,3
2939,Irish Terrier,Good For Novice Owners,2
2940,Irish Terrier,Sensitivity Level,3
2941,Irish Terrier,Tolerates Being Alone,2
2942,Irish Terrier,Tolerates Cold Weather,4
2943,Irish Terrier,Tolerates Hot Weather,4
2944,Irish Terrier,Affectionate with Family,5
2945,Irish Terrier,Incredibly Kid Friendly Dogs,5
2946,Irish Terrier,Dog Friendly,1
2947,Irish Terrier,Friendly Toward Strangers,3
2948,Irish Terrier,Amount Of Shedding,4
2949,Irish Terrier,Drooling Potential,1
2950,Irish Terrier,Easy To Groom,2
2951,Irish Terrier,General Health,5
2952,Irish Terrier,Potential For Weight Gain,3
2953,Irish Terrier,Size,3
2954,Irish Terrier,Easy To Train,1
2955,Irish Terrier,Intelligence,4
2956,Irish Terrier,Potential For Mouthiness,1
2957,Irish Terrier,Prey Drive,2
2958,Irish Terrier,Tendency To Bark Or Howl,4
2959,Irish Terrier,Wanderlust Potential,3
2960,Irish Terrier,Energy Level,5
2961,Irish Terrier,Intensity,4
2962,Irish Terrier,Exercise Needs,4
2963,Irish Terrier,Potential For Playfulness,5
2964,Irish Water Spaniel,Adapts Well to Apartment Living,3
2965,Irish Water Spaniel,Good For Novice Owners,2
2966,Irish Water Spaniel,Sensitivity Level,4
2967,Irish Water Spaniel,Tolerates Being Alone,3
2968,Irish Water Spaniel,Tolerates Cold Weather,4
2969,Irish Water Spaniel,Tolerates Hot Weather,4
2970,Irish Water Spaniel,Affectionate with Family,5
2971,Irish Water Spaniel,Incredibly Kid Friendly Dogs,5
2972,Irish Water Spaniel,Dog Friendly,4
2973,Irish Water Spaniel,Friendly Toward Strangers,5
2974,Irish Water Spaniel,Amount Of Shedding,1
2975,Irish Water Spaniel,Drooling Potential,2
2976,Irish Water Spaniel,Easy To Groom,3
2977,Irish Water Spaniel,General Health,2
2978,Irish Water Spaniel,Potential For Weight Gain,3
2979,Irish Water Spaniel,Size,3
2980,Irish Water Spaniel,Easy To Train,5
2981,Irish Water Spaniel,Intelligence,4
2982,Irish Water Spaniel,Potential For Mouthiness,3
2983,Irish Water Spaniel,Prey Drive,5
2984,Irish Water Spaniel,Tendency To Bark Or Howl,4
2985,Irish Water Spaniel,Wanderlust Potential,3
2986,Irish Water Spaniel,Energy Level,5
2987,Irish Water Spaniel,Intensity,3
2988,Irish Water Spaniel,Exercise Needs,5
2989,Irish Water Spaniel,Potential For Playfulness,4
2990,Irish Wolfhound,Adapts Well to Apartment Living,1
2991,Irish Wolfhound,Good For Novice Owners,2
2992,Irish Wolfhound,Sensitivity Level,3
2993,Irish Wolfhound,Tolerates Being Alone,2
2994,Irish Wolfhound,Tolerates Cold Weather,4
2995,Irish Wolfhound,Tolerates Hot Weather,2
2996,Irish Wolfhound,Affectionate with Family,5
2997,Irish Wolfhound,Incredibly Kid Friendly Dogs,5
2998,Irish Wolfhound,Dog Friendly,5
2999,Irish Wolfhound,Friendly Toward Strangers,5
3000,Irish Wolfhound,Amount Of Shedding,3
3001,Irish Wolfhound,Drooling Potential,1
3002,Irish Wolfhound,Easy To Groom,3
3003,Irish Wolfhound,General Health,1
3004,Irish Wolfhound,Potential For Weight Gain,3
3005,Irish Wolfhound,Size,5
3006,Irish Wolfhound,Easy To Train,3
3007,Irish Wolfhound,Intelligence,4
3008,Irish Wolfhound,Potential For Mouthiness,3
3009,Irish Wolfhound,Prey Drive,5
3010,Irish Wolfhound,Tendency To Bark Or Howl,1
3011,Irish Wolfhound,Wanderlust Potential,3
3012,Irish Wolfhound,Energy Level,2
3013,Irish Wolfhound,Intensity,2
3014,Irish Wolfhound,Exercise Needs,4
3015,Irish Wolfhound,Potential For Playfulness,4
3016,Italian Greyhound,Adapts Well to Apartment Living,5
3017,Italian Greyhound,Good For Novice Owners,5
3018,Italian Greyhound,Sensitivity Level,5
3019,Italian Greyhound,Tolerates Being Alone,1
3020,Italian Greyhound,Tolerates Cold Weather,1
3021,Italian Greyhound,Tolerates Hot Weather,3
3022,Italian Greyhound,Affectionate with Family,5
3023,Italian Greyhound,Incredibly Kid Friendly Dogs,5
3024,Italian Greyhound,Dog Friendly,4
3025,Italian Greyhound,Friendly Toward Strangers,4
3026,Italian Greyhound,Amount Of Shedding,2
3027,Italian Greyhound,Drooling Potential,1
3028,Italian Greyhound,Easy To Groom,5
3029,Italian Greyhound,General Health,3
3030,Italian Greyhound,Potential For Weight Gain,2
3031,Italian Greyhound,Size,2
3032,Italian Greyhound,Easy To Train,3
3033,Italian Greyhound,Intelligence,3
3034,Italian Greyhound,Potential For Mouthiness,4
3035,Italian Greyhound,Prey Drive,5
3036,Italian Greyhound,Tendency To Bark Or Howl,3
3037,Italian Greyhound,Wanderlust Potential,3
3038,Italian Greyhound,Energy Level,4
3039,Italian Greyhound,Intensity,2
3040,Italian Greyhound,Exercise Needs,4
3041,Italian Greyhound,Potential For Playfulness,4
3042,Jack Russell Terrier,Adapts Well to Apartment Living,3
3043,Jack Russell Terrier,Good For Novice Owners,2
3044,Jack Russell Terrier,Sensitivity Level,3
3045,Jack Russell Terrier,Tolerates Being Alone,3
3046,Jack Russell Terrier,Tolerates Cold Weather,4
3047,Jack Russell Terrier,Tolerates Hot Weather,3
3048,Jack Russell Terrier,Affectionate with Family,5
3049,Jack Russell Terrier,Incredibly Kid Friendly Dogs,4
3050,Jack Russell Terrier,Dog Friendly,5
3051,Jack Russell Terrier,Friendly Toward Strangers,4
3052,Jack Russell Terrier,Amount Of Shedding,3
3053,Jack Russell Terrier,Drooling Potential,1
3054,Jack Russell Terrier,Easy To Groom,3
3055,Jack Russell Terrier,General Health,4
3056,Jack Russell Terrier,Potential For Weight Gain,4
3057,Jack Russell Terrier,Size,2
3058,Jack Russell Terrier,Easy To Train,4
3059,Jack Russell Terrier,Intelligence,5
3060,Jack Russell Terrier,Potential For Mouthiness,4
3061,Jack Russell Terrier,Prey Drive,5
3062,Jack Russell Terrier,Tendency To Bark Or Howl,4
3063,Jack Russell Terrier,Wanderlust Potential,4
3064,Jack Russell Terrier,Energy Level,5
3065,Jack Russell Terrier,Intensity,5
3066,Jack Russell Terrier,Exercise Needs,5
3067,Jack Russell Terrier,Potential For Playfulness,5
3068,Japanese Chin,Adapts Well to Apartment Living,5
3069,Japanese Chin,Good For Novice Owners,4
3070,Japanese Chin,Sensitivity Level,3
3071,Japanese Chin,Tolerates Being Alone,1
3072,Japanese Chin,Tolerates Cold Weather,3
3073,Japanese Chin,Tolerates Hot Weather,2
3074,Japanese Chin,Affectionate with Family,3
3075,Japanese Chin,Incredibly Kid Friendly Dogs,3
3076,Japanese Chin,Dog Friendly,3
3077,Japanese Chin,Friendly Toward Strangers,4
3078,Japanese Chin,Amount Of Shedding,3
3079,Japanese Chin,Drooling Potential,1
3080,Japanese Chin,Easy To Groom,3
3081,Japanese Chin,General Health,3
3082,Japanese Chin,Potential For Weight Gain,3
3083,Japanese Chin,Size,1
3084,Japanese Chin,Easy To Train,3
3085,Japanese Chin,Intelligence,3
3086,Japanese Chin,Potential For Mouthiness,4
3087,Japanese Chin,Prey Drive,3
3088,Japanese Chin,Tendency To Bark Or Howl,3
3089,Japanese Chin,Wanderlust Potential,1
3090,Japanese Chin,Energy Level,2
3091,Japanese Chin,Intensity,1
3092,Japanese Chin,Exercise Needs,2
3093,Japanese Chin,Potential For Playfulness,4
3094,Korean Jindo Dog,Adapts Well to Apartment Living,3
3095,Korean Jindo Dog,Good For Novice Owners,2
3096,Korean Jindo Dog,Sensitivity Level,3
3097,Korean Jindo Dog,Tolerates Being Alone,2
3098,Korean Jindo Dog,Tolerates Cold Weather,5
3099,Korean Jindo Dog,Tolerates Hot Weather,2
3100,Korean Jindo Dog,Affectionate with Family,5
3101,Korean Jindo Dog,Incredibly Kid Friendly Dogs,3
3102,Korean Jindo Dog,Dog Friendly,3
3103,Korean Jindo Dog,Friendly Toward Strangers,4
3104,Korean Jindo Dog,Amount Of Shedding,5
3105,Korean Jindo Dog,Drooling Potential,1
3106,Korean Jindo Dog,Easy To Groom,1
3107,Korean Jindo Dog,General Health,4
3108,Korean Jindo Dog,Potential For Weight Gain,2
3109,Korean Jindo Dog,Size,3
3110,Korean Jindo Dog,Easy To Train,2
3111,Korean Jindo Dog,Intelligence,5
3112,Korean Jindo Dog,Potential For Mouthiness,2
3113,Korean Jindo Dog,Prey Drive,5
3114,Korean Jindo Dog,Wanderlust Potential,5
3115,Korean Jindo Dog,Energy Level,4
3116,Korean Jindo Dog,Intensity,4
3117,Korean Jindo Dog,Exercise Needs,5
3118,Korean Jindo Dog,Potential For Playfulness,4
3119,Keeshond,Adapts Well to Apartment Living,4
3120,Keeshond,Good For Novice Owners,4
3121,Keeshond,Sensitivity Level,5
3122,Keeshond,Tolerates Being Alone,1
3123,Keeshond,Tolerates Cold Weather,5
3124,Keeshond,Tolerates Hot Weather,3
3125,Keeshond,Affectionate with Family,5
3126,Keeshond,Incredibly Kid Friendly Dogs,5
3127,Keeshond,Dog Friendly,4
3128,Keeshond,Friendly Toward Strangers,4
3129,Keeshond,Amount Of Shedding,5
3130,Keeshond,Drooling Potential,1
3131,Keeshond,Easy To Groom,3
3132,Keeshond,General Health,3
3133,Keeshond,Potential For Weight Gain,4
3134,Keeshond,Size,3
3135,Keeshond,Easy To Train,4
3136,Keeshond,Intelligence,4
3137,Keeshond,Potential For Mouthiness,3
3138,Keeshond,Prey Drive,3
3139,Keeshond,Tendency To Bark Or Howl,4
3140,Keeshond,Wanderlust Potential,2
3141,Keeshond,Energy Level,4
3142,Keeshond,Intensity,3
3143,Keeshond,Exercise Needs,3
3144,Keeshond,Potential For Playfulness,5
3145,Kerry Blue Terrier,Adapts Well to Apartment Living,3
3146,Kerry Blue Terrier,Good For Novice Owners,2
3147,Kerry Blue Terrier,Sensitivity Level,3
3148,Kerry Blue Terrier,Tolerates Being Alone,3
3149,Kerry Blue Terrier,Tolerates Cold Weather,4
3150,Kerry Blue Terrier,Tolerates Hot Weather,3
3151,Kerry Blue Terrier,Affectionate with Family,4
3152,Kerry Blue Terrier,Incredibly Kid Friendly Dogs,4
3153,Kerry Blue Terrier,Dog Friendly,2
3154,Kerry Blue Terrier,Friendly Toward Strangers,5
3155,Kerry Blue Terrier,Amount Of Shedding,1
3156,Kerry Blue Terrier,Drooling Potential,1
3157,Kerry Blue Terrier,Easy To Groom,2
3158,Kerry Blue Terrier,General Health,3
3159,Kerry Blue Terrier,Potential For Weight Gain,3
3160,Kerry Blue Terrier,Size,3
3161,Kerry Blue Terrier,Easy To Train,4
3162,Kerry Blue Terrier,Intelligence,4
3163,Kerry Blue Terrier,Potential For Mouthiness,4
3164,Kerry Blue Terrier,Prey Drive,3
3165,Kerry Blue Terrier,Tendency To Bark Or Howl,4
3166,Kerry Blue Terrier,Wanderlust Potential,3
3167,Kerry Blue Terrier,Energy Level,4
3168,Kerry Blue Terrier,Intensity,4
3169,Kerry Blue Terrier,Exercise Needs,5
3170,Kerry Blue Terrier,Potential For Playfulness,4
3171,Komondor,Adapts Well to Apartment Living,2
3172,Komondor,Good For Novice Owners,1
3173,Komondor,Sensitivity Level,4
3174,Komondor,Tolerates Being Alone,1
3175,Komondor,Tolerates Cold Weather,4
3176,Komondor,Tolerates Hot Weather,3
3177,Komondor,Affectionate with Family,5
3178,Komondor,Incredibly Kid Friendly Dogs,3
3179,Komondor,Dog Friendly,1
3180,Komondor,Friendly Toward Strangers,1
3181,Komondor,Amount Of Shedding,3
3182,Komondor,Drooling Potential,2
3183,Komondor,Easy To Groom,2
3184,Komondor,General Health,2
3185,Komondor,Potential For Weight Gain,3
3186,Komondor,Size,4
3187,Komondor,Easy To Train,4
3188,Komondor,Intelligence,4
3189,Komondor,Potential For Mouthiness,3
3190,Komondor,Prey Drive,2
3191,Komondor,Tendency To Bark Or Howl,5
3192,Komondor,Wanderlust Potential,4
3193,Komondor,Energy Level,2
3194,Komondor,Intensity,1
3195,Komondor,Exercise Needs,4
3196,Komondor,Potential For Playfulness,4
3197,Kooikerhondje,Adapts Well to Apartment Living,4
3198,Kooikerhondje,Good For Novice Owners,3
3199,Kooikerhondje,Sensitivity Level,4
3200,Kooikerhondje,Tolerates Being Alone,2
3201,Kooikerhondje,Tolerates Cold Weather,4
3202,Kooikerhondje,Tolerates Hot Weather,3
3203,Kooikerhondje,Affectionate with Family,3
3204,Kooikerhondje,Incredibly Kid Friendly Dogs,2
3205,Kooikerhondje,Dog Friendly,2
3206,Kooikerhondje,Friendly Toward Strangers,2
3207,Kooikerhondje,Amount Of Shedding,3
3208,Kooikerhondje,Drooling Potential,1
3209,Kooikerhondje,Easy To Groom,2
3210,Kooikerhondje,General Health,5
3211,Kooikerhondje,Potential For Weight Gain,3
3212,Kooikerhondje,Size,3
3213,Kooikerhondje,Easy To Train,1
3214,Kooikerhondje,Intelligence,4
3215,Kooikerhondje,Potential For Mouthiness,3
3216,Kooikerhondje,Prey Drive,3
3217,Kooikerhondje,Tendency To Bark Or Howl,3
3218,Kooikerhondje,Wanderlust Potential,3
3219,Kooikerhondje,Energy Level,4
3220,Kooikerhondje,Intensity,5
3221,Kooikerhondje,Exercise Needs,5
3222,Kooikerhondje,Potential For Playfulness,4
3223,Kuvasz,Adapts Well to Apartment Living,1
3224,Kuvasz,Good For Novice Owners,1
3225,Kuvasz,Sensitivity Level,5
3226,Kuvasz,Tolerates Being Alone,1
3227,Kuvasz,Tolerates Cold Weather,5
3228,Kuvasz,Tolerates Hot Weather,2
3229,Kuvasz,Affectionate with Family,5
3230,Kuvasz,Incredibly Kid Friendly Dogs,1
3231,Kuvasz,Dog Friendly,2
3232,Kuvasz,Friendly Toward Strangers,1
3233,Kuvasz,Amount Of Shedding,4
3234,Kuvasz,Drooling Potential,3
3235,Kuvasz,Easy To Groom,4
3236,Kuvasz,General Health,4
3237,Kuvasz,Potential For Weight Gain,4
3238,Kuvasz,Size,5
3239,Kuvasz,Easy To Train,2
3240,Kuvasz,Intelligence,4
3241,Kuvasz,Potential For Mouthiness,1
3242,Kuvasz,Prey Drive,1
3243,Kuvasz,Tendency To Bark Or Howl,3
3244,Kuvasz,Wanderlust Potential,3
3245,Kuvasz,Energy Level,4
3246,Kuvasz,Intensity,4
3247,Kuvasz,Exercise Needs,5
3248,Kuvasz,Potential For Playfulness,4
3249,Labradoodle,Adapts Well to Apartment Living,5
3250,Labradoodle,Good For Novice Owners,4
3251,Labradoodle,Sensitivity Level,3
3252,Labradoodle,Tolerates Being Alone,4
3253,Labradoodle,Tolerates Cold Weather,5
3254,Labradoodle,Tolerates Hot Weather,4
3255,Labradoodle,Affectionate with Family,5
3256,Labradoodle,Incredibly Kid Friendly Dogs,4
3257,Labradoodle,Dog Friendly,5
3258,Labradoodle,Friendly Toward Strangers,5
3259,Labradoodle,Amount Of Shedding,3
3260,Labradoodle,Drooling Potential,1
3261,Labradoodle,Easy To Groom,4
3262,Labradoodle,General Health,4
3263,Labradoodle,Potential For Weight Gain,3
3264,Labradoodle,Size,4
3265,Labradoodle,Easy To Train,4
3266,Labradoodle,Intelligence,4
3267,Labradoodle,Potential For Mouthiness,1
3268,Labradoodle,Prey Drive,2
3269,Labradoodle,Tendency To Bark Or Howl,2
3270,Labradoodle,Wanderlust Potential,3
3271,Labradoodle,Energy Level,5
3272,Labradoodle,Intensity,4
3273,Labradoodle,Exercise Needs,5
3274,Labradoodle,Potential For Playfulness,5
3275,Labrador Retriever,Adapts Well to Apartment Living,1
3276,Labrador Retriever,Good For Novice Owners,3
3277,Labrador Retriever,Sensitivity Level,5
3278,Labrador Retriever,Tolerates Being Alone,2
3279,Labrador Retriever,Tolerates Cold Weather,3
3280,Labrador Retriever,Tolerates Hot Weather,3
3281,Labrador Retriever,Affectionate with Family,5
3282,Labrador Retriever,Incredibly Kid Friendly Dogs,5
3283,Labrador Retriever,Dog Friendly,5
3284,Labrador Retriever,Friendly Toward Strangers,5
3285,Labrador Retriever,Amount Of Shedding,5
3286,Labrador Retriever,Drooling Potential,3
3287,Labrador Retriever,Easy To Groom,5
3288,Labrador Retriever,General Health,3
3289,Labrador Retriever,Potential For Weight Gain,5
3290,Labrador Retriever,Size,4
3291,Labrador Retriever,Easy To Train,5
3292,Labrador Retriever,Intelligence,5
3293,Labrador Retriever,Potential For Mouthiness,5
3294,Labrador Retriever,Prey Drive,2
3295,Labrador Retriever,Tendency To Bark Or Howl,4
3296,Labrador Retriever,Wanderlust Potential,3
3297,Labrador Retriever,Energy Level,5
3298,Labrador Retriever,Intensity,5
3299,Labrador Retriever,Exercise Needs,5
3300,Labrador Retriever,Potential For Playfulness,5
3301,Lakeland Terrier,Adapts Well to Apartment Living,4
3302,Lakeland Terrier,Good For Novice Owners,3
3303,Lakeland Terrier,Sensitivity Level,3
3304,Lakeland Terrier,Tolerates Being Alone,2
3305,Lakeland Terrier,Tolerates Cold Weather,4
3306,Lakeland Terrier,Tolerates Hot Weather,4
3307,Lakeland Terrier,Affectionate with Family,5
3308,Lakeland Terrier,Incredibly Kid Friendly Dogs,4
3309,Lakeland Terrier,Dog Friendly,3
3310,Lakeland Terrier,Friendly Toward Strangers,3
3311,Lakeland Terrier,Amount Of Shedding,2
3312,Lakeland Terrier,Drooling Potential,1
3313,Lakeland Terrier,Easy To Groom,2
3314,Lakeland Terrier,General Health,5
3315,Lakeland Terrier,Potential For Weight Gain,3
3316,Lakeland Terrier,Size,2
3317,Lakeland Terrier,Easy To Train,2
3318,Lakeland Terrier,Intelligence,4
3319,Lakeland Terrier,Potential For Mouthiness,1
3320,Lakeland Terrier,Prey Drive,4
3321,Lakeland Terrier,Tendency To Bark Or Howl,2
3322,Lakeland Terrier,Wanderlust Potential,3
3323,Lakeland Terrier,Energy Level,5
3324,Lakeland Terrier,Intensity,4
3325,Lakeland Terrier,Exercise Needs,4
3326,Lakeland Terrier,Potential For Playfulness,4
3327,Lancashire Heeler,Adapts Well to Apartment Living,2
3328,Lancashire Heeler,Good For Novice Owners,2
3329,Lancashire Heeler,Sensitivity Level,3
